bd_id_1,bd_id_2,end_time,entity,jobcode,lot_num_1,lot_num_2,number,start_time
ACD054TA1008B,AAW048TP1041B,84.000000,BB211,MC,R08CDA104,R07AWDL04,BB211_1,0.000000
ABU096EA1001A,ARK078EP1001B,84.000000,BB212,MC,,R08RKA505,BB212_1,0.000000
ANV345XTG002A,AOK048TV1029A,803.631424,BB213,"CWN,SC",R03NVBK05,R07OKC211,BB213_2,683.631424
ANV132X2B031A,AAW048TP1041B,84.000000,BB215,MC,R80CMDQ01,R07AWDL06,BB215_1,0.000000
ACD054TA1008B,ARK078EP1001B,114.000000,BB217,MC,R08CDA109,R08RKA603,BB217_1,30.000000
ACD054TA1008B,AMS096EC1002A,186.000000,BB218,MC,R08CDA102,R08MSNZ08,BB218_1,102.000000
ACD054TA1008B,AMS096EC1002A,225.000000,BB221,MC,R08CDA103,R08MSRM08,BB221_1,141.000000
ANV345XTG002A,AOK048TV1029A,-937.869162,BB222,MC,R03NVBK04,R07OKC201,BB222_1,-1021.869162
ABU084CC2004B,AAW024XJ6010B,950.000000,BB226,MC,R07BUCR10,R08AWC602,BB226_1,866.000000
ANV345XTG002A,AMS096EC1002A,-996.810628,BB230,MC,R03NVBK14,R08MSP108,BB230_1,-1080.810628
ACD054TA1008B,AOK048TV1029A,331.000000,BB232,MC,R08CDA101,R07OKC207,BB232_1,247.000000
ABU024XJ6003A,AOK048TV1029A,1119.000000,BB235,MC,R07VGAK02,R07OKC208,BB235_1,1035.000000
AAB178NN2001A,AMS048TW1050A,86.000000,BB443,MC,R07ABLH29,R08MSMC10,BB443_1,2.000000
AYZ096EI1002A,AAB162KE1010A,270.000000,BB453,MC,R07YZAU03,R07ABM210,BB453_1,186.000000
ABU078EA1001A,AMS096EC1002A,1092.494997,BB455,"CWN,SC",R08BUAE01,R06MSEN06,BB455_2,972.494997
BU054MF1002A,ARK078EP1001B,438.000000,BB456,MC,R08BUAB04,R08RKA703,BB456_1,354.000000
BU054MF1002A,AAB162KE1010A,172.000000,BB467,MC,R07BUC502,R07ABM208,BB467_1,88.000000
AAB024MAA005A,ARK078EP1001B,245.000000,BB469,MC,R08ABBC04,R08RKA604,BB469_1,161.000000
AMS048TW1037A,ARK078EP1001B,-67.000000,BB472,MC,R08MSME05,R08RKA504,BB472_1,-151.000000
AAB178NN2001A,ARK078EP1001B,514.000000,BB474,MC,R08ABD501,R08RKA805,BB474_1,430.000000
AAB178NN2001A,AMS090NC4003A,530.000000,BB476,MC,R07ABLH30A,R08MSM606,BB476_1,446.000000
AAB178NN2001A,ARK078EP1001B,680.000000,BB478,MC,R08ABD502,R08RKA403,BB478_1,596.000000
AYZ096EI1002A,AAB084CC9002A,275.000000,BB484,MC,R07YZAU05,R08ABCW05,BB484_1,191.000000
ABU078EA1001A,AMS096EC1002A,1242.494997,BB487,"CWN,SC",R08BUAE02,R08MSRH03,BB487_2,1122.494997
ABU078EA1001A,AMS096EC1002A,1330.184447,BB489,"CWN,SC",R08BUAE04,R08MSRL05,BB489_2,1210.184447
ABU078EA1001A,AMS096EC1002A,84.000000,BB496,MC,,R08MSRQ08,BB496_1,0.000000
AYZ096EI1002A,ARK078EP1001B,-5394.000000,BB502,MC,R07YZAP04,R08RKA503,BB502_1,-5478.000000
AAB024MAA005A,AMS090NC4003A,204.000000,BB504,MC,R08ABBA05,R08MSM409,BB504_2,120.000000
AAW064MR1007A,AMS096EC1002A,1138.157381,BB505,"CWN,SC",R08AWAM01,R06MSEN05,BB505_3,1018.157381
AAB178NN2001A,ARK078EP1001B,1021.000000,BB509,MC,R08ABD603,R08RKA303,BB509_1,937.000000
