¦C¼Æ,bd_id,oper,model,remark,trans_date,trans_time,
844,	AAS048TG1012A       ,	2200,	ICONN       ,	AAS048TG1012A-2200-Criteria             ,	20210610,	235250,
845,	ABW032YF1002B       ,	2200,	MAXUM-PLUS  ,	ABW032YF1002B-2200-Criteria             ,	20210618,	192604,
846,	ABW032YF1002B       ,	2200,	MAXUM       ,	ABW032YF1002B-2200-Criteria             ,	20210618,	192604,
847,	AKX048TP2001A       ,	2200,	UTC1000S    ,	AKX048TP2001A-2200-Criteria             ,	20210624,	172227,
848,	AKX048TP2001A       ,	2200,	UTC2000     ,	AKX048TP2001A-2200-Criteria             ,	20210624,	172227,
849,	ABU008YQ2009A       ,	2200,	MAXUM       ,	ABU008YQ2009A-2200-Criteria             ,	20210618,	192804,
850,	AAB024MAA006A       ,	2200,	UTC1000S    ,	AAB024MAA006A-2200-Criteria             ,	20210611,	235847,
851,	AAS008YM2014A       ,	2200,	MAXUM-PLUS  ,	AAS008YM2014A-2200-Criteria             ,	20210616,	150730,
852,	AAS008YM2014A       ,	2200,	MAXUM       ,	AAS008YM2014A-2200-Criteria             ,	20210616,	150730,
853,	AAS008YM2012A       ,	2200,	MAXUM       ,	AAS008YM2012A-2200-Criteria             ,	20210616,	151044,
854,	AAB024MAA008A       ,	2200,	UTC1000S    ,	AAB024MAA008A-2200-Criteria             ,	20210615,	235945,
855,	ABU008YQ2019A       ,	2200,	MAXUM       ,	ABU008YQ2019A-2200-Criteria             ,	20210616,	151533,
856,	AAS008YB2005A       ,	2200,	MAXUM       ,	AAS008YB2005A-2200-Criteria             ,	20210621,	182338,
857,	ANV153XT8020A       ,	2200,	UTC2000     ,	ANV153XT8020A-2200-Criteria             ,	20210617,	181240,
858,	ALW200KK2012A       ,	2200,	UTC3000     ,	ALW200KK2012A-2200-Criteria             ,	20210618,	73026,
859,	AAW024MA6018B       ,	2200,	UTC1000S    ,	AAW024MA6018B-2200-Criteria             ,	20210618,	235132,
860,	AAW024MA6018B       ,	2200,	UTC2000     ,	AAW024MA6018B-2200-Criteria             ,	20210618,	235132,
861,	ANV0086A1038A       ,	2200,	ICONN       ,	ANV0086A1038A-2200-Criteria             ,	20210620,	112426,
862,	AAW063NW3001B       ,	2200,	UTC1000S    ,	AAW063NW3001B-2200-Criteria             ,	20210622,	183420,
863,	AAW063NW3001B       ,	2200,	UTC2000     ,	AAW063NW3001B-2200-Criteria             ,	20210622,	183420,
864,	ABU024MA6010A       ,	2200,	UTC2000     ,	ABU024MA6010A-2200-Criteria             ,	20210622,	183450,
865,	AQB084CC9001A       ,	2200,	UTC1000S    ,	AQB084CC9001A-2200-Criteria             ,	20210622,	183615,
866,	AQB084CC9001A       ,	2200,	UTC2000     ,	AQB084CC9001A-2200-Criteria             ,	20210622,	183615,
867,	ABU063NW1003A       ,	2200,	UTC1000S    ,	ABU063NW1003A-2200-Criteria             ,	20210623,	232131,
868,	ABU063NW1003A       ,	2200,	UTC2000     ,	ABU063NW1003A-2200-Criteria             ,	20210623,	232131,
869,	AAS066TS1006A       ,	3200,	MAXUM       ,	AAS066TS1006A-3200-Criteria             ,	20210625,	173226,
870,	AAS066TS1006A       ,	2200,	MAXUM       ,	AAS066TS1006A-2200-Criteria             ,	20210625,	173226,
871,	AAS008FG1009A       ,	2200,	MAXUM-PLUS  ,	AAS008FG1009A-2200-Criteria             ,	20210625,	174823,
872,	AAS008FG1009A       ,	2200,	MAXUM       ,	AAS008FG1009A-2200-Criteria             ,	20210625,	174823,
873,	AOK070TB1005A       ,	2200,	UTC1000S    ,	AOK070TB1005A-2200-Criteria             ,	20210809,	170149,
874,	OK048TV1006B        ,	2200,	UTC1000S    ,	OK048TV1006B-2200-Criteria              ,	20210805,	170642,
875,	AAW048TP1081A       ,	2200,	UTC1000S    ,	AAW048TP1081A-2200-Criteria             ,	20210804,	170246,
876,	AAW048TP1081A       ,	2200,	UTC2000     ,	AAW048TP1081A-2200-Criteria             ,	20210804,	170246,
877,	ANV153XT3003A       ,	3200,	UTC2000     ,	ANV153XT3003A-3200-Criteria             ,	20210815,	165250,
878,	ANV153XT3003A       ,	3200,	UTC3000     ,	ANV153XT3003A-3200-Criteria             ,	20210815,	165250,
879,	ANV153XT3003A       ,	2200,	UTC2000     ,	ANV153XT3003A-2200-Criteria             ,	20210815,	165250,
880,	ANV153XT3003A       ,	2200,	UTC3000     ,	ANV153XT3003A-2200-Criteria             ,	20210815,	165250,
881,	ANI010YK2001A       ,	2200,	MAXUM       ,	ANI010YK2001A-2200-Criteria             ,	20210816,	184618,
882,	ABW032YB1005B       ,	2200,	MAXUM       ,	ABW032YB1005B-2200-Criteria             ,	20210812,	165558,
883,	AAS008YD2034A       ,	2200,	MAXUM       ,	AAS008YD2034A-2200-Criteria             ,	20210709,	92336,
884,	AAS054TS1002A       ,	2200,	MAXUM       ,	AAS054TS1002A-2200-Criteria             ,	20210708,	174132,
885,	AAS008FG1018A       ,	2200,	MAXUM       ,	AAS008FG1018A-2200-Criteria             ,	20210806,	173539,
886,	AAS048TP2029A       ,	2200,	MAXUM       ,	AAS048TP2029A-2200-Criteria             ,	20210709,	145530,
887,	ANV0086A1027A       ,	2200,	MAXUM-PLUS  ,	ANV0086A1027A-2200-Criteria             ,	20210907,	170033,
888,	AAS048TP2037A       ,	2200,	MAXUM       ,	AAS048TP2037A-2200-Criteria             ,	20210709,	185225,
889,	GA054NB1004A        ,	2200,	UTC1000S    ,	GA054NB1004A-2200-Criteria              ,	20210907,	231937,
890,	ANV153XT3004A       ,	2200,	UTC2000     ,	ANV153XT3004A-2200-Criteria             ,	20210809,	1611,
891,	AAW048TP1020C       ,	2200,	UTC2000     ,	AAW048TP1020C-2200-Criteria             ,	20210819,	171919,
892,	AHQ0282L3003A       ,	2200,	ICONN       ,	AHQ0282L3003A-2200-Criteria             ,	20210806,	170046,
893,	AAS162KE1001A       ,	2200,	MAXUM       ,	AAS162KE1001A-2200-Criteria             ,	20210708,	1114,
894,	AAB008YQ3002A       ,	2200,	MAXUM       ,	AAB008YQ3002A-2200-Criteria             ,	20210906,	164345,
895,	AGJ132X25001A       ,	2200,	UTC2000     ,	AGJ132X25001A-2200-Criteria             ,	20210809,	143947,
896,	AGJ132X25001A       ,	2200,	UTC3000     ,	AGJ132X25001A-2200-Criteria             ,	20210809,	143947,
897,	ABU153XT9002A       ,	2200,	ICONN       ,	ABU153XT9002A-2200-Criteria             ,	20210809,	142345,
898,	ABU153XT9002A       ,	2200,	ICONN-PLUS  ,	ABU153XT9002A-2200-Criteria             ,	20210809,	142345,
899,	AAB008YQ3001A       ,	2200,	MAXUM       ,	AAB008YQ3001A-2200-Criteria             ,	20210710,	193628,
900,	ANV153XT3001A       ,	2200,	UTC2000     ,	ANV153XT3001A-2200-Criteria             ,	20210815,	165244,
901,	ANV153XT3001A       ,	2200,	MAXUM-PLUS  ,	ANV153XT3001A-2200-Criteria             ,	20210815,	165244,
902,	ANV169XN6002A       ,	2200,	MAXUM       ,	ANV169XN6002A-2200-Criteria             ,	20210711,	145428,
903,	ANV169XN6002A       ,	2200,	ICONN       ,	ANV169XN6002A-2200-Criteria             ,	20210711,	145428,
904,	ANV169XN6002A       ,	3400,	MAXUM       ,	ANV169XN6002A-3400-Criteria             ,	20210711,	145428,
905,	ANV169XN6002A       ,	3400,	ICONN       ,	ANV169XN6002A-3400-Criteria             ,	20210711,	145428,
906,	ANV169XN6002A       ,	3200,	ICONN       ,	ANV169XN6002A-3200-Criteria             ,	20210711,	145428,
907,	AAB090NC4006A       ,	2200,	UTC1000S    ,	AAB090NC4006A-2200-Criteria             ,	20210812,	235136,
908,	ANI010YK2001A       ,	2200,	RAPID       ,	ANI010YK2001A-2200-Criteria             ,	20210816,	184618,
909,	ABW072AF1004B       ,	2200,	MAXUM       ,	ABW072AF1004B-2200-Criteria             ,	20210714,	110912,
910,	AAB090NC4006A       ,	2200,	UTC2000     ,	AAB090NC4006A-2200-Criteria             ,	20210812,	235136,
911,	AAB054TN1004A       ,	2200,	UTC1000S    ,	AAB054TN1004A-2200-Criteria             ,	20210714,	170828,
912,	AAB054TN1004A       ,	2200,	UTC2000     ,	AAB054TN1004A-2200-Criteria             ,	20210714,	170828,
913,	AAB054TN1004A       ,	2200,	MAXUM-BASE  ,	AAB054TN1004A-2200-Criteria             ,	20210714,	170828,
914,	AAB054TN1004A       ,	2200,	MAXUM-PLUS  ,	AAB054TN1004A-2200-Criteria             ,	20210714,	170828,
915,	AAB054TN1004A       ,	2200,	MAXUM       ,	AAB054TN1004A-2200-Criteria             ,	20210714,	170828,
