,Unnamed: 0,bd_id_1,bd_id_2,end_time,entity,jobcode,lot_num_1,lot_num_2,number,start_time,start_time_trans,end_time_trans,CR,start_time_adj,end_time_adj
70,70,AAW064MR1007A,AAB024MA6027A,2297.515458,BB762,"CWN,SC",R14AWBH02,R14ABNR04,BB762_4,2177.515458,2022-04-07 20:22:30,2022-04-07 22:22:30,7617.08,2022-04-07 20:22:30,2022-04-07 22:22:30
71,71,AUL054TN1003A,AAW048TP1008B,1152.321184,BB766,"CWN,SC",R14ULA308,R14AWBS36,BB766_2,1032.321184,2022-04-07 01:17:19,2022-04-07 03:17:19,7620.91,2022-04-07 01:17:19,2022-04-07 03:17:19
72,72,AAB024MAA017A,AAB060EM2002A,84.0,BB768,MC,,R14ABQB06,BB768_1,0.0,2022-04-06 08:05:00,2022-04-06 09:29:00,7617.39,2022-04-06 08:05:00,2022-04-06 09:29:00
73,73,ACD096EF2001B,AAB054TN1002A,716.0,BB772,MC,R14CDB802,R14ABRY11,BB772_1,632.0,2022-04-06 18:37:00,2022-04-06 20:01:00,7617.08,2022-04-06 18:37:00,2022-04-06 20:01:00
74,74,AAB024XJ6011A,ANV153XT9078A,84.0,BB776,MC,R14ABKX01,R14NVP802,BB776_1,0.0,2022-04-06 08:05:00,2022-04-06 09:29:00,7625.74,2022-04-06 08:05:00,2022-04-06 09:29:00
75,75,ACD096EF2001B,AAW064MR1009A,84.0,BB777,MC,,R14AWCA03,BB777_1,0.0,2022-04-06 08:05:00,2022-04-06 09:29:00,7630.16,2022-04-06 08:05:00,2022-04-06 09:29:00
76,76,ABU200N74006A,AGA134KM1001A,84.0,BB780,MC,R14BUAU03,R14GAC101,BB780_1,0.0,2022-04-06 08:05:00,2022-04-06 09:29:00,7617.08,2022-04-06 08:05:00,2022-04-06 09:29:00
77,77,ACD054MF2003A,AAB024MA6027A,802.0,BB787,MC,R14CDBG02,R14ABNR01,BB787_1,718.0,2022-04-06 20:03:00,2022-04-06 21:27:00,7617.08,2022-04-06 20:03:00,2022-04-06 21:27:00
78,78,AAW048TP1034C,AMS078C91003A,1377.613763,BB790,"CWN,SC",R14AWBM01,R14MSM402,BB790_4,1257.613763,2022-04-07 05:02:36,2022-04-07 07:02:36,7619.059999999999,2022-04-07 05:02:36,2022-04-07 07:02:36
79,79,AAS060NR2004A,ABU008YD2004A,84.0,BB801,MC,,R14VGAC06,BB801_1,0.0,2022-04-06 08:05:00,2022-04-06 09:29:00,7625.6,2022-04-06 08:05:00,2022-04-06 09:29:00
80,80,AZA0086A1003A,AAB008YB2004A,544.542319,BB803,"CWN,SC",R12ZAAA01,R14ABQ905,BB803_2,424.542319,2022-04-06 15:09:32,2022-04-06 17:09:32,7617.559999999999,2022-04-06 15:09:32,2022-04-06 17:09:32
81,81,AYZ066TS1001A,ABU008YD2004A,208.0,BB806,"CWN,SC",R14YZA411,R14VGAC01,BB806_1,88.0,2022-04-06 09:33:00,2022-04-06 11:33:00,7681.0,2022-04-06 09:33:00,2022-04-06 11:33:00
82,82,ABU008YD2004A,AAB008Y62014A,1667.058097,BB806,"CWN,SC",R14VGAC07,R14ABRB01,BB806_4,1547.058097,2022-04-07 09:52:03,2022-04-07 11:52:03,7617.15,2022-04-07 09:52:03,2022-04-07 11:52:03
83,83,AZA0086A1010A,AAB008YB2004A,424.918731,BB809,"CWN,SC",R12ZAAH03,R14ABQ904,BB809_2,304.918731,2022-04-06 13:09:55,2022-04-06 15:09:55,7617.559999999999,2022-04-06 13:09:55,2022-04-06 15:09:55
